reference_month,release_date
2009-01-01,2009-02-20
2009-02-01,2009-03-19
2009-03-01,2009-04-17
2009-04-01,2009-05-20
2009-05-01,2009-06-18
2009-06-01,2009-07-17
2009-07-01,2009-08-19
2009-08-01,2009-09-17
2009-09-01,2009-10-16
2009-10-01,2009-11-18
2009-11-01,2009-12-17
2009-12-01,2010-01-20
2010-01-01,2010-02-18
2010-02-01,2010-03-19
2010-03-01,2010-04-23
2010-05-01,2010-06-22
2010-06-01,2010-07-23
2010-07-01,2010-08-20
2010-08-01,2010-09-21
2010-10-01,2010-11-23
2010-11-01,2010-12-21
2010-12-01,2011-01-25
2011-01-01,2011-02-18
2011-02-01,2011-03-18
2011-03-01,2011-04-19
2011-04-01,2011-05-20
2011-05-01,2011-06-29
2011-06-01,2011-07-22
2011-07-01,2011-08-19
2011-08-01,2011-09-21
2011-09-01,2011-10-21
2011-10-01,2011-11-18
2011-11-01,2011-12-20
2011-12-01,2012-01-20
2012-01-01,2012-02-17
2012-02-01,2012-03-23
2012-03-01,2012-04-20
2012-04-01,2012-05-18
2012-05-01,2012-06-22
2012-06-01,2012-07-20
2012-07-01,2012-08-17
2012-08-01,2012-09-21
2012-09-01,2012-10-19
2012-10-01,2012-11-23
2012-11-01,2012-12-21
2012-12-01,2013-01-25
2013-01-01,2013-02-22
2013-02-01,2013-03-27
2013-03-01,2013-04-19
2013-04-01,2013-05-17
2013-05-01,2013-06-21
2013-06-01,2013-07-19
2013-07-01,2013-08-23
2013-08-01,2013-09-20
2013-09-01,2013-10-18
2013-10-01,2013-11-22
2013-11-01,2013-12-20
2013-12-01,2014-01-24
2014-01-01,2014-02-21
2014-02-01,2014-03-21
2014-03-01,2014-04-17
2014-04-01,2014-05-23
2014-05-01,2014-06-20
2014-06-01,2014-07-18
2014-07-01,2014-08-22
2014-08-01,2014-09-19
2014-09-01,2014-10-17
2014-10-01,2014-11-21
2014-11-01,2014-12-19
2014-12-01,2015-01-23
2015-01-01,2015-02-26
2015-02-01,2015-03-20
2015-03-01,2015-04-17
2015-04-01,2015-05-22
2015-05-01,2015-06-19
