date,overnight_rate,yield_2y,yield_3y,yield_5y,yield_7y,yield_10y,yield_long,usdcad_legacy,usdcad_current,usdcad,yield_spread_10y_2y
2009-01-02,1.5,1.15,1.39,1.83,2.27,2.83,3.54,1.2107,,1.2107,1.6800000000000002
2009-01-05,1.5,1.16,1.4,1.86,2.34,2.9,3.64,1.1914,,1.1914,1.74
2009-01-06,1.5,1.15,1.39,1.84,2.31,2.88,3.65,1.1823,,1.1823,1.73
2009-01-07,1.5,1.14,1.38,1.85,2.35,2.93,3.7,1.1853,,1.1853,1.7900000000000003
2009-01-08,1.5,1.14,1.39,1.82,2.3,2.87,3.66,1.1888,,1.1888,1.7300000000000002
2009-01-09,1.5,1.09,1.36,1.77,2.24,2.81,3.63,1.1923,,1.1923,1.72
2009-01-12,1.5,1.03,1.29,1.72,2.18,2.75,3.6,1.2077,,1.2077,1.72
2009-01-13,1.5,1.02,1.28,1.69,2.14,2.72,3.56,1.2257,,1.2257,1.7000000000000002
2009-01-14,1.5,0.92,1.15,1.52,1.97,2.55,3.43,1.2383,,1.2383,1.63
2009-01-15,1.5,0.96,1.2,1.56,2.01,2.59,3.48,1.2625,,1.2625,1.63
2009-01-16,1.5,0.95,1.2,1.58,2.04,2.62,3.54,1.2542,,1.2542,1.6700000000000002
2009-01-19,1.5,0.99,1.24,1.64,2.11,2.7,3.6,1.2521,,1.2521,1.7100000000000002
2009-01-20,1.0,1.04,1.28,1.64,2.09,2.68,3.56,1.2605,,1.2605,1.6400000000000001
2009-01-21,1.0,1.08,1.31,1.69,2.14,2.73,3.62,1.2741,,1.2741,1.65
2009-01-22,1.0,1.15,1.38,1.74,2.16,2.75,3.61,1.263,,1.263,1.6
2009-01-23,1.0,1.24,1.47,1.83,2.24,2.82,3.65,1.248,,1.248,1.5799999999999998
2009-01-26,1.0,1.31,1.55,1.95,2.35,2.92,3.72,1.2205,,1.2205,1.6099999999999999
2009-01-27,1.0,1.31,1.55,1.94,2.33,2.9,3.67,1.2299,,1.2299,1.5899999999999999
2009-01-28,1.0,1.37,1.61,2.03,2.42,2.97,3.72,1.2098,,1.2098,1.6
2009-01-29,1.0,1.4,1.64,2.11,2.51,3.08,3.81,1.2188,,1.2188,1.6800000000000002
2009-01-30,1.0,1.41,1.67,2.11,2.49,3.06,3.77,1.2364,,1.2364,1.6500000000000001
2009-02-02,1.0,1.32,1.58,2.02,2.41,2.99,3.69,1.2404,,1.2404,1.6700000000000002
2009-02-03,1.0,1.33,1.59,2.08,2.48,3.07,3.75,1.2337,,1.2337,1.7399999999999998
2009-02-04,1.0,1.33,1.6,2.09,2.51,3.12,3.79,1.2266,,1.2266,1.79
2009-02-05,1.0,1.23,1.49,1.97,2.4,3.01,3.72,1.2303,,1.2303,1.7799999999999998
2009-02-06,1.0,1.14,1.41,1.93,2.38,3.04,3.77,1.2389,,1.2389,1.9000000000000001
2009-02-09,1.0,1.18,1.46,1.99,2.42,3.08,3.8,1.2192,,1.2192,1.9000000000000001
2009-02-10,1.0,1.15,1.42,1.94,2.34,2.98,3.72,1.2332,,1.2332,1.83
2009-02-11,1.0,1.16,1.69,2.12,2.32,2.94,3.69,1.2424,,1.2424,1.78
2009-02-12,1.0,1.15,1.67,2.08,2.28,2.91,3.65,1.2477,,1.2477,1.7600000000000002
2009-02-13,1.0,1.2,1.69,2.11,2.3,2.95,3.67,1.2433,,1.2433,1.7500000000000002
2009-02-16,1.0,,,,,,,1.2437,,1.2437,
2009-02-17,1.0,1.18,1.61,2.01,2.18,2.81,3.55,1.2601,,1.2601,1.6300000000000001
2009-02-18,1.0,1.25,1.68,2.07,2.25,2.86,3.58,1.2596,,1.2596,1.6099999999999999
2009-02-19,1.0,1.25,1.7,2.09,2.27,2.9,3.63,1.2595,,1.2595,1.65
2009-02-20,1.0,1.22,1.66,2.05,2.24,2.87,3.59,1.2541,,1.2541,1.6500000000000001
2009-02-23,1.0,1.16,1.61,2.0,2.19,2.84,3.57,1.2512,,1.2512,1.68
2009-02-24,1.0,1.19,1.66,2.04,2.23,2.86,3.6,1.247,,1.247,1.67
2009-02-25,1.0,1.25,1.72,2.11,2.31,2.95,3.69,1.2556,,1.2556,1.7000000000000002
2009-02-26,1.0,1.21,1.69,2.1,2.3,2.95,3.7,1.2456,,1.2456,1.7400000000000002
2009-02-27,1.0,1.15,1.64,2.05,2.26,3.12,3.7,1.2707,,1.2707,1.9700000000000002
2009-03-02,1.0,1.04,1.5,1.91,2.13,3.01,3.62,1.289,,1.289,1.9699999999999998
2009-03-03,0.5,0.98,1.43,1.87,2.1,2.99,3.63,1.2938,,1.2938,2.0100000000000002
2009-03-04,0.5,0.97,1.44,1.88,2.11,3.01,3.68,1.2765,,1.2765,2.04
2009-03-05,0.5,0.93,1.38,1.81,2.04,2.92,3.56,1.2877,,1.2877,1.9899999999999998
2009-03-06,0.5,0.96,1.43,1.87,2.07,2.94,3.61,1.2863,,1.2863,1.98
2009-03-09,0.5,0.95,1.42,1.86,2.07,2.93,3.63,1.3,,1.3,1.9800000000000002
2009-03-10,0.5,0.98,1.47,1.92,2.13,2.99,3.71,1.2797,,1.2797,2.0100000000000002
2009-03-11,0.5,0.99,1.43,1.88,2.08,2.92,3.66,1.2807,,1.2807,1.93
2009-03-12,0.5,0.99,1.44,1.91,2.1,2.92,3.64,1.2905,,1.2905,1.93
2009-03-13,0.5,0.97,1.41,1.87,2.06,2.87,3.6,1.2749,,1.2749,1.9000000000000001
2009-03-16,0.5,0.99,1.4,1.87,2.06,2.88,3.61,1.2724,,1.2724,1.89
2009-03-17,0.5,1.02,1.45,1.91,2.11,2.93,3.64,1.2718,,1.2718,1.9100000000000001
2009-03-18,0.5,0.95,1.28,1.7,1.9,2.7,3.53,1.272,,1.272,1.7500000000000002
2009-03-19,0.5,0.99,1.34,1.71,1.91,2.7,3.56,1.2325,,1.2325,1.7100000000000002
2009-03-20,0.5,1.02,1.37,1.73,1.94,2.74,3.61,1.2371,,1.2371,1.7200000000000002
2009-03-23,0.5,1.03,1.39,1.76,1.96,2.76,3.61,1.2323,,1.2323,1.7299999999999998
2009-03-24,0.5,1.09,1.48,1.87,2.09,2.89,3.69,1.2262,,1.2262,1.8
2009-03-25,0.5,1.12,1.51,1.95,2.16,2.96,3.74,1.2245,,1.2245,1.8399999999999999
2009-03-26,0.5,1.17,1.47,1.89,2.09,2.89,3.64,1.233,,1.233,1.7200000000000002
2009-03-27,0.5,1.17,1.47,1.9,2.12,2.93,3.66,1.2392,,1.2392,1.7600000000000002
2009-03-30,0.5,1.11,1.4,1.8,2.01,2.82,3.59,1.259,,1.259,1.7099999999999997
2009-03-31,0.5,1.07,1.35,1.75,1.96,2.79,3.57,1.2602,,1.2602,1.72
2009-04-01,0.5,1.08,1.35,1.75,1.95,2.77,3.55,1.2643,,1.2643,1.69
2009-04-02,0.5,1.12,1.4,1.82,2.03,2.86,3.61,1.2384,,1.2384,1.7399999999999998
2009-04-03,0.5,1.14,1.43,1.88,2.09,2.93,3.66,1.2337,,1.2337,1.7900000000000003
2009-04-06,0.5,1.14,1.45,1.91,2.13,2.99,3.71,1.2429,,1.2429,1.8500000000000003
2009-04-07,0.5,1.12,1.41,1.86,2.09,2.94,3.66,1.2341,,1.2341,1.8199999999999998
2009-04-08,0.5,1.09,1.38,1.82,2.05,2.89,3.62,1.2354,,1.2354,1.8
2009-04-09,0.5,1.12,1.42,1.87,2.09,2.94,3.65,1.2274,,1.2274,1.8199999999999998
2009-04-10,0.5,,,,,,,,,,
2009-04-13,0.5,1.1,1.41,1.86,2.09,2.94,3.65,1.2212,,1.2212,1.8399999999999999
2009-04-14,0.5,1.09,1.4,1.84,2.08,2.91,3.63,1.2092,,1.2092,1.82
2009-04-15,0.5,1.12,1.43,1.88,2.12,2.94,3.68,1.2038,,1.2038,1.8199999999999998
2009-04-16,0.5,1.12,1.45,1.9,2.14,2.96,3.7,1.2062,,1.2062,1.8399999999999999
2009-04-17,0.5,1.16,1.5,1.97,2.21,3.01,3.75,1.2146,,1.2146,1.8499999999999999
2009-04-20,0.5,1.1,1.43,1.86,2.1,2.88,3.65,1.2343,,1.2343,1.7799999999999998
2009-04-21,0.25,1.02,1.37,1.87,2.1,2.9,3.69,1.2358,,1.2358,1.88
2009-04-22,0.25,1.0,1.36,1.89,2.12,2.93,3.72,1.236,,1.236,1.9300000000000002
2009-04-23,0.25,0.98,1.36,1.93,2.19,3.0,3.76,1.229,,1.229,2.02
2009-04-24,0.25,0.98,1.35,1.94,2.19,3.01,3.76,1.2093,,1.2093,2.03
2009-04-27,0.25,0.96,1.34,1.93,2.19,3.01,3.76,1.2107,,1.2107,2.05
2009-04-28,0.25,0.98,1.38,1.97,2.23,3.06,3.8,1.2238,,1.2238,2.08
2009-04-29,0.25,0.98,1.39,2.01,2.26,3.08,3.82,1.2008,,1.2008,2.1
2009-04-30,0.25,0.98,1.4,2.02,2.28,3.09,3.84,1.194,,1.194,2.11
2009-05-01,0.25,0.98,1.43,2.01,2.27,3.09,3.83,1.1872,,1.1872,2.11
2009-05-04,0.25,1.02,1.47,2.03,2.29,3.09,3.85,1.1781,,1.1781,2.07
2009-05-05,0.25,1.01,1.46,2.01,2.26,3.05,3.84,1.176,,1.176,2.04
2009-05-06,0.25,1.03,1.47,2.03,2.28,3.07,3.87,1.1731,,1.1731,2.04
2009-05-07,0.25,1.07,1.51,2.1,2.36,3.14,3.93,1.1714,,1.1714,2.0700000000000003
2009-05-08,0.25,1.12,1.57,2.14,2.39,3.16,3.93,1.1581,,1.1581,2.04
2009-05-11,0.25,1.09,1.53,2.07,2.33,3.1,3.88,1.1591,,1.1591,2.01
2009-05-12,0.25,1.12,1.55,2.1,2.36,3.13,3.9,1.1676,,1.1676,2.01
2009-05-13,0.25,1.11,1.55,2.09,2.35,3.1,3.86,1.1683,,1.1683,1.99
2009-05-14,0.25,1.1,1.54,2.11,2.36,3.09,3.85,1.1727,,1.1727,1.9899999999999998
2009-05-15,0.25,1.09,1.53,2.13,2.38,3.1,3.86,1.1756,,1.1756,2.01
2009-05-18,0.25,,,,,,,,,,
2009-05-19,0.25,1.1,1.56,2.16,2.42,3.14,3.9,1.1569,,1.1569,2.04
2009-05-20,0.25,1.1,1.57,2.15,2.42,3.14,3.89,1.1434,,1.1434,2.04
2009-05-21,0.25,1.14,1.65,2.26,2.53,3.27,3.98,1.1414,,1.1414,2.13
2009-05-22,0.25,1.15,1.65,2.27,2.54,3.26,3.97,1.1233,,1.1233,2.11
2009-05-25,0.25,1.15,1.65,2.28,2.55,3.27,3.98,1.1258,,1.1258,2.12
2009-05-26,0.25,1.21,1.75,2.42,2.69,3.42,4.08,1.1199,,1.1199,2.21
2009-05-27,0.25,1.27,1.84,2.57,2.84,3.57,4.19,1.112,,1.112,2.3
2009-05-28,0.25,1.27,1.84,2.51,2.76,3.46,4.07,1.1124,,1.1124,2.19
2009-05-29,0.25,1.23,1.79,2.45,2.69,3.39,3.99,1.0961,,1.0961,2.16
2009-06-01,0.25,1.26,1.84,2.51,2.75,3.45,4.03,1.0872,,1.0872,2.1900000000000004
2009-06-02,0.25,1.23,1.8,2.48,2.72,3.42,4.01,1.0827,,1.0827,2.19
2009-06-03,0.25,1.15,1.74,2.41,2.65,3.34,3.96,1.0976,,1.0976,2.19
2009-06-04,0.25,1.16,1.77,2.47,2.71,3.4,4.0,1.0999,,1.0999,2.24
2009-06-05,0.25,1.28,1.89,2.58,2.8,3.44,3.98,1.1146,,1.1146,2.16
2009-06-08,0.25,1.4,2.02,2.71,2.92,3.52,4.01,1.123,,1.123,2.12
2009-06-09,0.25,1.35,1.97,2.68,2.9,3.54,4.03,1.1041,,1.1041,2.19
2009-06-10,0.25,1.43,2.07,2.82,3.04,3.65,4.11,1.1101,,1.1101,2.2199999999999998
2009-06-11,0.25,1.4,2.01,2.74,2.94,3.53,4.0,1.0982,,1.0982,2.13
2009-06-12,0.25,1.4,2.01,2.71,2.91,3.5,3.94,1.1177,,1.1177,2.1
2009-06-15,0.25,1.39,2.01,2.72,2.92,3.51,3.94,1.1341,,1.1341,2.12
2009-06-16,0.25,1.36,1.99,2.65,2.86,3.44,3.9,1.1327,,1.1327,2.08
2009-06-17,0.25,1.29,1.92,2.59,2.82,3.44,3.9,1.1371,,1.1371,2.15
2009-06-18,0.25,1.33,1.96,2.65,2.88,3.51,3.96,1.1273,,1.1273,2.1799999999999997
2009-06-19,0.25,1.28,1.93,2.64,2.87,3.52,3.97,1.1287,,1.1287,2.24
