reference_month,release_date,cpi_all_items
2009-01-01,2009-02-20,113.0
2009-02-01,2009-03-19,113.8
2009-03-01,2009-04-17,114.0
2009-04-01,2009-05-20,113.9
2009-05-01,2009-06-18,114.7
2009-06-01,2009-07-17,115.1
2009-07-01,2009-08-19,114.7
2009-08-01,2009-09-17,114.7
2009-09-01,2009-10-16,114.7
2009-10-01,2009-11-18,114.6
2009-11-01,2009-12-17,115.2
2009-12-01,2010-01-20,114.8
2010-01-01,2010-02-18,115.1
2010-02-01,2010-03-19,115.6
2010-03-01,2010-04-23,115.6
2010-05-01,2010-06-22,116.3
2010-06-01,2010-07-23,116.2
2010-07-01,2010-08-20,116.8
2010-08-01,2010-09-21,116.7
2010-10-01,2010-11-23,117.4
2010-11-01,2010-12-21,117.5
2010-12-01,2011-01-25,117.5
2011-01-01,2011-02-18,117.8
2011-02-01,2011-03-18,118.1
2011-03-01,2011-04-19,119.4
2011-04-01,2011-05-20,119.8
2011-05-01,2011-06-29,120.6
2011-06-01,2011-07-22,119.8
2011-07-01,2011-08-19,120.0
2011-08-01,2011-09-21,120.3
2011-09-01,2011-10-21,120.6
2011-10-01,2011-11-18,120.8
2011-11-01,2011-12-20,120.9
2011-12-01,2012-01-20,120.2
2012-01-01,2012-02-17,120.7
2012-02-01,2012-03-23,121.2
2012-03-01,2012-04-20,121.7
2012-04-01,2012-05-18,122.2
2012-05-01,2012-06-22,122.1
2012-06-01,2012-07-20,121.6
2012-07-01,2012-08-17,121.5
2012-08-01,2012-09-21,121.8
2012-09-01,2012-10-19,122.0
2012-10-01,2012-11-23,122.2
2012-11-01,2012-12-21,121.9
2012-12-01,2013-01-25,121.2
2013-01-01,2013-02-22,121.3
2013-02-01,2013-03-27,122.7
2013-03-01,2013-04-19,122.9
2013-04-01,2013-05-17,122.7
2013-05-01,2013-06-21,123.0
2013-06-01,2013-07-19,123.0
2013-07-01,2013-08-23,123.1
2013-08-01,2013-09-20,123.1
2013-09-01,2013-10-18,123.3
2013-10-01,2013-11-22,123.0
2013-11-01,2013-12-20,123.0
2013-12-01,2014-01-24,122.7
2014-01-01,2014-02-21,123.1
2014-02-01,2014-03-21,124.1
2014-03-01,2014-04-17,124.8
2014-04-01,2014-05-23,125.2
2014-05-01,2014-06-20,125.8
2014-06-01,2014-07-18,125.9
2014-07-01,2014-08-22,125.7
2014-08-01,2014-09-19,125.7
2014-09-01,2014-10-17,125.8
2014-10-01,2014-11-21,125.9
2014-11-01,2014-12-19,125.4
2014-12-01,2015-01-23,124.5
2015-01-01,2015-02-26,124.3
2015-02-01,2015-03-20,125.4
2015-03-01,2015-04-17,126.3
2015-04-01,2015-05-22,126.2
2015-05-01,2015-06-19,126.9
2015-06-01,2015-07-17,127.2
2015-07-01,2015-08-21,127.3
2015-08-01,2015-09-18,127.3
2015-09-01,2015-10-23,127.1
2015-10-01,2015-11-20,127.2
2015-11-01,2015-12-18,127.1
2015-12-01,2016-01-22,126.5
2016-01-01,2016-02-19,126.8
2016-02-01,2016-03-18,127.1
2016-03-01,2016-04-22,127.9
2016-04-01,2016-05-20,128.3
2016-05-01,2016-06-17,128.8
2016-06-01,2016-07-22,129.1
2016-07-01,2016-08-19,128.9
2016-08-01,2016-09-23,128.7
2016-09-01,2016-10-21,128.8
2016-10-01,2016-11-18,129.1
2016-11-01,2016-12-22,128.6
2016-12-01,2017-01-20,128.4
2017-01-01,2017-02-24,129.5
2017-02-01,2017-03-24,129.7
2017-03-01,2017-04-21,129.9
2017-04-01,2017-05-19,130.4
2017-05-01,2017-06-23,130.5
2017-06-01,2017-07-21,130.4
2017-07-01,2017-08-18,130.4
2017-08-01,2017-09-22,130.5
2017-09-01,2017-10-20,130.8
2017-10-01,2017-11-17,130.9
2017-11-01,2017-12-21,131.3
2017-12-01,2018-01-26,130.8
2018-01-01,2018-02-23,131.7
2018-02-01,2018-03-23,132.5
2018-03-01,2018-04-20,132.9
2018-04-01,2018-05-18,133.3
2018-05-01,2018-06-22,133.4
2018-06-01,2018-07-20,133.6
2018-07-01,2018-08-17,134.3
2018-08-01,2018-09-21,134.2
2018-09-01,2018-10-19,133.7
2018-10-01,2018-11-23,134.1
2018-11-01,2018-12-19,133.5
2018-12-01,2019-01-18,133.4
2019-01-01,2019-02-27,133.6
2019-02-01,2019-03-22,134.5
2019-03-01,2019-04-17,135.4
2019-04-01,2019-05-15,136.0
2019-05-01,2019-06-19,136.6
2019-06-01,2019-07-17,136.3
2019-07-01,2019-08-21,137.0
2019-08-01,2019-09-18,136.8
2019-09-01,2019-10-16,136.2
2019-10-01,2019-11-20,136.6
2019-11-01,2019-12-18,136.4
2019-12-01,2020-01-22,136.4
2020-01-01,2020-02-19,136.8
2020-02-01,2020-03-18,137.4
2020-03-01,2020-04-22,136.6
2020-04-01,2020-05-20,135.7
2020-05-01,2020-06-17,136.1
2020-06-01,2020-07-22,137.2
2020-07-01,2020-08-19,137.2
2020-08-01,2020-09-16,137.0
2020-09-01,2020-10-21,136.9
2020-10-01,2020-11-18,137.5
2020-11-01,2020-12-16,137.7
2020-12-01,2021-01-20,137.4
2021-01-01,2021-02-17,138.2
2021-02-01,2021-03-17,138.9
2021-03-01,2021-04-21,139.6
2021-04-01,2021-05-19,140.3
2021-05-01,2021-06-16,141.0
2021-06-01,2021-07-28,141.4
2021-07-01,2021-08-18,142.3
2021-08-01,2021-09-15,142.6
2021-09-01,2021-10-20,142.9
2021-10-01,2021-11-17,143.9
2021-11-01,2021-12-15,144.2
2021-12-01,2022-01-19,144.0
2022-01-01,2022-02-16,145.3
2022-02-01,2022-03-16,146.8
2022-03-01,2022-04-20,148.9
2022-04-01,2022-05-18,149.8
2022-05-01,2022-06-22,151.9
2022-06-01,2022-07-20,152.9
2022-07-01,2022-08-16,153.1
2022-08-01,2022-09-20,152.6
2022-09-01,2022-10-19,152.7
2022-10-01,2022-11-16,153.8
2022-11-01,2022-12-21,154.0
2022-12-01,2023-01-17,153.1
2023-01-01,2023-02-21,153.9
2023-02-01,2023-03-21,154.5
2023-03-01,2023-04-18,155.3
2023-04-01,2023-05-16,156.4
2023-05-01,2023-06-27,157.0
2023-06-01,2023-07-18,157.2
2023-07-01,2023-08-15,158.1
2023-08-01,2023-09-19,158.7
2023-09-01,2023-10-17,158.5
2023-10-01,2023-11-21,158.6
2023-11-01,2023-12-19,158.8
2023-12-01,2024-01-16,158.3
2024-01-01,2024-02-20,158.3
2024-02-01,2024-03-19,158.8
2024-03-01,2024-04-16,159.8
2024-04-01,2024-05-21,160.6
2024-05-01,2024-06-25,161.5
2024-06-01,2024-07-16,161.4
2024-07-01,2024-08-20,162.1
2024-08-01,2024-09-17,161.8
2024-09-01,2024-10-15,161.1
2024-10-01,2024-11-19,161.8
2024-11-01,2024-12-17,161.8
2024-12-01,2025-01-21,161.2
2025-01-01,2025-02-18,161.3
2025-02-01,2025-03-18,163.0
2025-03-01,2025-04-15,163.5
2025-04-01,2025-05-20,163.4
2025-05-01,2025-06-24,164.3
2025-06-01,2025-07-15,164.4
2025-07-01,2025-08-19,164.9
2025-08-01,2025-09-16,164.8
2025-09-01,2025-10-21,164.9
2025-10-01,2025-11-17,165.3
2025-11-01,2025-12-15,165.4
2025-12-01,2026-01-19,165.0
2026-01-01,2026-02-17,165.0
2026-02-01,2026-03-16,165.9
2026-03-01,2026-04-20,167.4
2026-04-01,2026-05-19,168.0
2026-05-01,2026-06-22,169.6
2026-06-01,2026-07-20,169.0
2010-04-01,,116.0
2010-09-01,,116.9
