horizon_days,response_variable,shock_variable,proportion
0,yield_spread_10y_2y,yield_spread_10y_2y,1.0
0,yield_spread_10y_2y,overnight_rate,0.0
0,yield_spread_10y_2y,us_treasury_10y,0.0
0,yield_spread_10y_2y,fed_funds_rate,0.0
0,yield_spread_10y_2y,cpi_yoy,0.0
0,yield_spread_10y_2y,usdcad,0.0
0,overnight_rate,yield_spread_10y_2y,0.00025159659673082603
0,overnight_rate,overnight_rate,0.9997484034032691
0,overnight_rate,us_treasury_10y,0.0
0,overnight_rate,fed_funds_rate,0.0
0,overnight_rate,cpi_yoy,0.0
0,overnight_rate,usdcad,0.0
0,us_treasury_10y,yield_spread_10y_2y,0.19068105917267825
0,us_treasury_10y,overnight_rate,0.0014045582326162643
0,us_treasury_10y,us_treasury_10y,0.8079143825947056
0,us_treasury_10y,fed_funds_rate,0.0
0,us_treasury_10y,cpi_yoy,0.0
0,us_treasury_10y,usdcad,0.0
0,fed_funds_rate,yield_spread_10y_2y,0.00040818692542163467
0,fed_funds_rate,overnight_rate,0.018819344932103327
0,fed_funds_rate,us_treasury_10y,0.0012582039200105387
0,fed_funds_rate,fed_funds_rate,0.9795142642224645
0,fed_funds_rate,cpi_yoy,0.0
0,fed_funds_rate,usdcad,0.0
0,cpi_yoy,yield_spread_10y_2y,0.0010017336326941255
0,cpi_yoy,overnight_rate,6.891300202005229e-06
0,cpi_yoy,us_treasury_10y,0.00012033212368239566
0,cpi_yoy,fed_funds_rate,8.42827198255616e-06
0,cpi_yoy,cpi_yoy,0.998862614671439
0,cpi_yoy,usdcad,0.0
0,usdcad,yield_spread_10y_2y,4.3988777619445296e-05
0,usdcad,overnight_rate,0.0015941070667409526
0,usdcad,us_treasury_10y,0.006009490784855237
0,usdcad,fed_funds_rate,0.00035682197117280684
0,usdcad,cpi_yoy,0.0020022093258439387
0,usdcad,usdcad,0.9899933820737676
1,yield_spread_10y_2y,yield_spread_10y_2y,0.9995716627374979
1,yield_spread_10y_2y,overnight_rate,1.3507367965121158e-05
1,yield_spread_10y_2y,us_treasury_10y,0.00017558375758709775
1,yield_spread_10y_2y,fed_funds_rate,3.730228855265611e-05
1,yield_spread_10y_2y,cpi_yoy,9.034333731387606e-05
1,yield_spread_10y_2y,usdcad,0.00011160051108334053
1,overnight_rate,yield_spread_10y_2y,0.0050198133143060835
1,overnight_rate,overnight_rate,0.9947050791849076
1,overnight_rate,us_treasury_10y,6.582807252523024e-05
1,overnight_rate,fed_funds_rate,0.00013114915499635364
1,overnight_rate,cpi_yoy,3.9086989506997445e-08
1,overnight_rate,usdcad,7.809118627531437e-05
1,us_treasury_10y,yield_spread_10y_2y,0.18510684949766637
1,us_treasury_10y,overnight_rate,0.0010906103922063341
1,us_treasury_10y,us_treasury_10y,0.8136957239371072
1,us_treasury_10y,fed_funds_rate,7.574139424848258e-05
1,us_treasury_10y,cpi_yoy,4.462641493437626e-06
1,us_treasury_10y,usdcad,2.6612137277982193e-05
1,fed_funds_rate,yield_spread_10y_2y,0.00042533510963095323
1,fed_funds_rate,overnight_rate,0.016371717429667663
1,fed_funds_rate,us_treasury_10y,0.0009191773443782921
1,fed_funds_rate,fed_funds_rate,0.9822089241949716
1,fed_funds_rate,cpi_yoy,1.9038037975329966e-05
1,fed_funds_rate,usdcad,5.580788337620106e-05
1,cpi_yoy,yield_spread_10y_2y,0.001442492818062835
1,cpi_yoy,overnight_rate,4.190124621437083e-06
1,cpi_yoy,us_treasury_10y,6.192828666737306e-05
1,cpi_yoy,fed_funds_rate,6.017144592706198e-05
1,cpi_yoy,cpi_yoy,0.9983279257886509
1,cpi_yoy,usdcad,0.00010329153607045582
1,usdcad,yield_spread_10y_2y,0.0002582559337211831
1,usdcad,overnight_rate,0.005351192075165648
1,usdcad,us_treasury_10y,0.006194706709557734
1,usdcad,fed_funds_rate,0.00017324193166015547
1,usdcad,cpi_yoy,0.0021355895911719636
1,usdcad,usdcad,0.9858870137587233
2,yield_spread_10y_2y,yield_spread_10y_2y,0.9992245131880012
2,yield_spread_10y_2y,overnight_rate,2.0605713439774967e-05
2,yield_spread_10y_2y,us_treasury_10y,0.00031774132437332363
2,yield_spread_10y_2y,fed_funds_rate,0.000109610911603671
2,yield_spread_10y_2y,cpi_yoy,7.553056726120551e-05
2,yield_spread_10y_2y,usdcad,0.0002519982953209205
2,overnight_rate,yield_spread_10y_2y,0.006851032530359062
2,overnight_rate,overnight_rate,0.9925500680535904
2,overnight_rate,us_treasury_10y,5.058232953679346e-05
2,overnight_rate,fed_funds_rate,0.00046034216521965255
2,overnight_rate,cpi_yoy,5.259152233445449e-07
2,overnight_rate,usdcad,8.744900607074527e-05
2,us_treasury_10y,yield_spread_10y_2y,0.17994837748671388
2,us_treasury_10y,overnight_rate,0.0018692747988690254
2,us_treasury_10y,us_treasury_10y,0.817996677720791
2,us_treasury_10y,fed_funds_rate,7.328534197440477e-05
