horizon_days,shock_variable,response_variable,response,cumulative_response
0,overnight_rate,yield_spread_10y_2y,0.0,0.0
0,overnight_rate,overnight_rate,0.03381947275232666,0.03381947275232666
0,overnight_rate,us_treasury_10y,0.00193737086870921,0.00193737086870921
0,overnight_rate,fed_funds_rate,0.00472002550614838,0.00472002550614838
0,overnight_rate,cpi_yoy,0.00023348127727291202,0.00023348127727291202
0,overnight_rate,usdcad,-0.00021219358582476064,-0.00021219358582476064
1,overnight_rate,yield_spread_10y_2y,0.00014588120763877937,0.00014588120763877937
1,overnight_rate,overnight_rate,0.0329125820319025,0.06673205478422917
1,overnight_rate,us_treasury_10y,0.0014211141478207507,0.0033584850165299606
1,overnight_rate,fed_funds_rate,0.003810022262356657,0.008530047768505036
1,overnight_rate,cpi_yoy,0.00010899098050214626,0.00034247225777505827
1,overnight_rate,usdcad,-0.0005161527610362905,-0.0007283463468610511
2,overnight_rate,yield_spread_10y_2y,0.00016478636175598055,0.0003106675693947599
2,overnight_rate,overnight_rate,0.032227704575521016,0.09895975935975018
2,overnight_rate,us_treasury_10y,0.002944155702102081,0.006302640718632041
2,overnight_rate,fed_funds_rate,0.0028290720886275022,0.01135911985713254
2,overnight_rate,cpi_yoy,0.0015087771329438452,0.0018512493907189035
2,overnight_rate,usdcad,-0.00074690557579667,-0.001475251922657721
3,overnight_rate,yield_spread_10y_2y,-0.00024811171669480026,6.255585269995963e-05
3,overnight_rate,overnight_rate,0.03142898421199055,0.13038874357174074
3,overnight_rate,us_treasury_10y,0.004529267637017212,0.010831908355649254
3,overnight_rate,fed_funds_rate,0.002692472678237711,0.01405159253537025
3,overnight_rate,cpi_yoy,-0.0010153806982105267,0.0008358686925083768
3,overnight_rate,usdcad,-0.0008409492060337907,-0.002316201128691512
4,overnight_rate,yield_spread_10y_2y,-0.0003875847204581795,-0.0003250288677582199
4,overnight_rate,overnight_rate,0.030849776857736436,0.16123852042947717
4,overnight_rate,us_treasury_10y,0.00395895915578656,0.014790867511435813
4,overnight_rate,fed_funds_rate,0.0024990973650909827,0.016550689900461234
4,overnight_rate,cpi_yoy,0.005045867411446796,0.005881736103955173
4,overnight_rate,usdcad,-0.0008997013147505452,-0.003215902443442057
5,overnight_rate,yield_spread_10y_2y,-0.0011764606635653154,-0.0015014895313235352
5,overnight_rate,overnight_rate,0.030364037395573595,0.19160255782505076
5,overnight_rate,us_treasury_10y,0.004418687904897508,0.01920955541633332
5,overnight_rate,fed_funds_rate,0.007685124462845226,0.02423581436330646
5,overnight_rate,cpi_yoy,0.004894528123198988,0.01077626422715416
5,overnight_rate,usdcad,-0.0009073438598039784,-0.004123246303246036
6,overnight_rate,yield_spread_10y_2y,-0.0017848894077636434,-0.0032863789390871786
6,overnight_rate,overnight_rate,0.029634894806237592,0.22123745263128836
6,overnight_rate,us_treasury_10y,0.003762314424392382,0.022971869840725703
6,overnight_rate,fed_funds_rate,0.007319163322282407,0.03155497768558887
6,overnight_rate,cpi_yoy,0.005026489699912398,0.015802753927066558
6,overnight_rate,usdcad,-0.0009397003957062549,-0.005062946698952291
7,overnight_rate,yield_spread_10y_2y,-0.0016931518509332494,-0.004979530790020428
7,overnight_rate,overnight_rate,0.02905139135788212,0.2502888439891705
7,overnight_rate,us_treasury_10y,0.005574792293338392,0.028546662134064094
7,overnight_rate,fed_funds_rate,0.006998299987584813,0.03855327767317368
7,overnight_rate,cpi_yoy,0.004570816441361079,0.02037357036842764
7,overnight_rate,usdcad,-0.0008933378299558193,-0.005956284528908109
8,overnight_rate,yield_spread_10y_2y,-0.001379756503746013,-0.006359287293766441
8,overnight_rate,overnight_rate,0.030099980541589143,0.28038882453075964
8,overnight_rate,us_treasury_10y,0.007032565988755993,0.035579228122820085
8,overnight_rate,fed_funds_rate,0.009133711775867604,0.04768698944904128
8,overnight_rate,cpi_yoy,0.002724698856075017,0.023098269224502657
