system,det_order,det_label,r_null,trace_stat,trace_cv_90,trace_cv_95,trace_cv_99,trace_reject_95,max_eig_stat,max_eig_cv_90,max_eig_cv_95,max_eig_cv_99,max_eig_reject_95,eigenvalue,trace_rank,max_eig_rank
5var,-1,No deterministic terms,0,79.1923,56.2839,60.0627,67.6367,True,127.7882,27.916,30.4428,35.7359,True,0.018431,1,3
5var,-1,No deterministic terms,1,29.8522,37.0339,40.1749,46.5716,False,48.5959,21.837,24.1592,29.0609,True,0.006988,1,3
5var,-1,No deterministic terms,2,16.6415,21.7781,24.2761,29.5147,False,18.7437,15.7175,17.7961,22.2519,True,0.003902,1,3
5var,-1,No deterministic terms,3,2.0703,10.4741,12.3212,16.364,False,2.1022,9.4748,11.2246,15.0923,False,0.000486,1,3
5var,-1,No deterministic terms,4,0.0319,2.9762,4.1296,6.9406,False,0.0319,2.9762,4.1296,6.9406,False,8e-06,1,3
5var,0,Restricted constant (intercept in CE only),0,87.6078,65.8202,69.8189,77.8202,True,140.3713,31.2379,33.8777,39.3693,True,0.020369,1,3
5var,0,Restricted constant (intercept in CE only),1,30.2582,44.4929,47.8545,54.6815,False,52.7635,25.1236,27.5858,32.7172,True,0.007083,1,3
5var,0,Restricted constant (intercept in CE only),2,17.0083,27.0669,29.7961,35.4628,False,22.5053,18.8928,21.1314,25.865,True,0.003987,1,3
5var,0,Restricted constant (intercept in CE only),3,5.1111,13.4294,15.4943,19.9349,False,5.497,12.2971,14.2639,18.52,False,0.0012,1,3
5var,0,Restricted constant (intercept in CE only),4,0.3859,2.7055,3.8415,6.6349,False,0.3859,2.7055,3.8415,6.6349,False,9.1e-05,1,3
5var,1,Restricted constant + restricted linear trend,0,87.6135,75.1027,79.3422,87.7748,True,170.7175,34.4202,37.1646,42.8612,True,0.020371,1,3
5var,1,Restricted constant + restricted linear trend,1,43.9612,51.6492,55.2459,62.5202,False,83.104,28.2398,30.8151,36.193,True,0.010274,1,3
5var,1,Restricted constant + restricted linear trend,2,26.2025,32.0645,35.0116,41.0815,False,39.1428,21.8731,24.2522,29.2631,True,0.006136,1,3
5var,1,Restricted constant + restricted linear trend,3,8.2465,16.1619,18.3985,23.1485,False,12.9403,15.0006,17.1481,21.7465,False,0.001935,1,3
5var,1,Restricted constant + restricted linear trend,4,4.6939,2.7055,3.8415,6.6349,True,4.6939,2.7055,3.8415,6.6349,True,0.001102,1,3
6var,-1,No deterministic terms,0,106.0531,79.5329,83.9383,92.7136,True,161.9579,33.9271,36.6301,42.2333,True,0.024605,1,3
6var,-1,No deterministic terms,1,30.5077,56.2839,60.0627,67.6367,False,55.9048,27.916,30.4428,35.7359,True,0.007141,1,3
6var,-1,No deterministic terms,2,17.1437,37.0339,40.1749,46.5716,False,25.3971,21.837,24.1592,29.0609,True,0.004019,1,3
6var,-1,No deterministic terms,3,6.4643,21.7781,24.2761,29.5147,False,8.2534,15.7175,17.7961,22.2519,False,0.001517,1,3
6var,-1,No deterministic terms,4,1.7759,10.4741,12.3212,16.364,False,1.7891,9.4748,11.2246,15.0923,False,0.000417,1,3
6var,-1,No deterministic terms,5,0.0132,2.9762,4.1296,6.9406,False,0.0132,2.9762,4.1296,6.9406,False,3e-06,1,3
6var,0,Restricted constant (intercept in CE only),0,103.9603,91.109,95.7542,104.9637,True,185.981,37.2786,40.0763,45.8662,True,0.024125,1,4
6var,0,Restricted constant (intercept in CE only),1,32.9174,65.8202,69.8189,77.8202,False,82.0207,31.2379,33.8777,39.3693,True,0.007703,1,4
6var,0,Restricted constant (intercept in CE only),2,26.7906,44.4929,47.8545,54.6815,False,49.1033,25.1236,27.5858,32.7172,True,0.006274,1,4
6var,0,Restricted constant (intercept in CE only),3,16.4267,27.0669,29.7961,35.4628,False,22.3127,18.8928,21.1314,25.865,True,0.003851,1,4
6var,0,Restricted constant (intercept in CE only),4,5.1654,13.4294,15.4943,19.9349,False,5.886,12.2971,14.2639,18.52,False,0.001213,1,4
6var,0,Restricted constant (intercept in CE only),5,0.7206,2.7055,3.8415,6.6349,False,0.7206,2.7055,3.8415,6.6349,False,0.000169,1,4
6var,1,Restricted constant + restricted linear trend,0,105.3606,102.4674,107.3429,116.9829,False,214.3439,40.5244,43.4183,49.4095,True,0.024446,0,4
6var,1,Restricted constant + restricted linear trend,1,44.3045,75.1027,79.3422,87.7748,False,108.9833,34.4202,37.1646,42.8612,True,0.010353,0,4
6var,1,Restricted constant + restricted linear trend,2,26.602,51.6492,55.2459,62.5202,False,64.6788,28.2398,30.8151,36.193,True,0.00623,0,4
6var,1,Restricted constant + restricted linear trend,3,25.2694,32.0645,35.0116,41.0815,False,38.0769,21.8731,24.2522,29.2631,True,0.005918,0,4
6var,1,Restricted constant + restricted linear trend,4,9.0463,16.1619,18.3985,23.1485,False,12.8075,15.0006,17.1481,21.7465,False,0.002123,0,4
6var,1,Restricted constant + restricted linear trend,5,3.7613,2.7055,3.8415,6.6349,False,3.7613,2.7055,3.8415,6.6349,False,0.000883,0,4
