hidden_size,dropout,lookback,learning_rate,fold_0_val_mse,fold_1_val_mse,fold_2_val_mse,fold_3_val_mse,fold_4_val_mse,mean_val_mse,std_val_mse,mean_epochs,rank,is_canonical
32,0.1,20,0.0005,0.578326404094696,0.7810702919960022,0.9491158723831177,0.9535964131355286,2.272397756576538,1.1069013476371765,0.598721619144562,12.0,1,False
32,0.3,20,0.0005,0.5786269903182983,0.7799778580665588,0.9489440321922302,0.9531100988388062,2.274482250213623,1.1070282459259033,0.5996332395537445,12.6,2,False
32,0.2,20,0.0005,0.578793466091156,0.78095543384552,0.9491134881973267,0.9533497095108032,2.2780818939208984,1.108058798313141,0.600877851307486,12.0,3,False
32,0.3,20,0.001,0.5781328678131104,0.7794042229652405,0.9490286111831665,0.9593369960784912,2.2777187824249268,1.108724296092987,0.6007239566702591,10.8,4,False
32,0.1,20,0.001,0.5776160955429077,0.7795565724372864,0.9490408301353455,0.9611412286758423,2.279099702835083,1.109290885925293,0.6012460178102228,10.6,5,False
32,0.2,20,0.001,0.5784871578216553,0.779905378818512,0.9489127397537231,0.9602231383323669,2.2791576385498047,1.1093372106552124,0.6011285987821386,10.8,6,False
16,0.1,20,0.001,0.6124919056892395,0.7763240933418274,0.9555248022079468,0.9811453819274902,2.263371467590332,1.117771530151367,0.5880958719065102,15.4,7,False
8,0.1,20,0.001,0.5877251029014587,0.7881174087524414,0.9541506767272949,0.989429235458374,2.2694454193115234,1.1177735686302186,0.5931639453018832,12.2,8,False
8,0.1,20,0.0005,0.5883607864379883,0.7924944162368774,0.954576313495636,0.9904621243476868,2.2631778717041016,1.117814302444458,0.5900638911275564,17.6,9,False
8,0.2,20,0.0005,0.587951123714447,0.7932995557785034,0.9541934728622437,0.9903900027275085,2.263338327407837,1.117834496498108,0.5901353788307168,19.8,10,False
16,0.3,20,0.0005,0.6112193465232849,0.7781058549880981,0.9557071924209595,0.981521725654602,2.262972116470337,1.1179052472114563,0.5879253418446855,19.2,11,False
16,0.2,20,0.0005,0.6125218868255615,0.7772672772407532,0.9556536078453064,0.9809396862983704,2.2632832527160645,1.1179331421852112,0.5879494023293172,18.4,12,False
8,0.2,20,0.001,0.587537407875061,0.7885871529579163,0.9541624188423157,0.9899883270263672,2.269536018371582,1.1179622650146483,0.5931556829947464,13.0,13,False
8,0.3,20,0.0005,0.5879679322242737,0.7940455079078674,0.9541364908218384,0.9903591275215149,2.2633397579193115,1.1179697632789611,0.5900554387994241,19.8,14,False
16,0.1,20,0.0005,0.6130760908126831,0.7772307991981506,0.9553179144859314,0.9808740615844727,2.2636892795562744,1.1180376291275025,0.5880382137970452,18.0,15,False
8,0.3,20,0.001,0.5876708030700684,0.792195200920105,0.9543821811676025,0.9894358515739441,2.2692174911499023,1.1185803055763244,0.5926208540502926,13.0,16,False
16,0.2,20,0.001,0.6115432381629944,0.7782739400863647,0.9556065797805786,0.9818618297576904,2.285592555999756,1.1225756287574769,0.5966548695277306,13.4,17,True
16,0.3,20,0.001,0.6109490990638733,0.7798893451690674,0.9553231596946716,0.9828322529792786,2.2841734886169434,1.1226334691047668,0.5959877122273598,12.0,18,False
32,0.2,10,0.0005,0.6574855446815491,0.7493370771408081,0.9745770692825317,0.9459231495857239,2.2868545055389404,1.1228354692459106,0.5940152254036856,12.6,19,False
32,0.1,10,0.0005,0.65757817029953,0.748572826385498,0.9747546911239624,0.9457805752754211,2.287899971008301,1.1229172468185424,0.5945062644280268,12.2,20,False
32,0.3,10,0.0005,0.6574056148529053,0.7489328384399414,0.974620521068573,0.9458456039428711,2.2888455390930176,1.1231300234794617,0.5948613719415626,12.8,21,False
32,0.2,10,0.001,0.657276451587677,0.7484777569770813,0.9750914573669434,0.9516977071762085,2.2903668880462646,1.124582052230835,0.5951671502083631,11.0,22,False
32,0.3,10,0.001,0.6571051478385925,0.7491000890731812,0.9749689698219299,0.9511629939079285,2.2919669151306152,1.1248608231544495,0.5957795959204673,11.0,23,False
32,0.1,10,0.001,0.6574909687042236,0.7477831244468689,0.9756072163581848,0.9519035816192627,2.295180320739746,1.1255930423736573,0.5970691859334162,11.0,24,False
8,0.1,10,0.0005,0.66996830701828,0.7571118474006653,0.9842929244041443,0.9821747541427612,2.2588417530059814,1.1304779171943664,0.5775881143848817,17.2,25,False
8,0.2,10,0.0005,0.6699872016906738,0.7592821717262268,0.9843242168426514,0.9818536043167114,2.2585716247558594,1.1308037638664246,0.5772145100711124,19.6,26,False
8,0.1,10,0.001,0.6699479222297668,0.7558154463768005,0.9839562773704529,0.9801618456840515,2.265383243560791,1.1310529470443726,0.5804363534635713,12.4,27,False
8,0.3,10,0.0005,0.6701804399490356,0.7635194659233093,0.9844143986701965,0.9818826913833618,2.2587099075317383,1.1317413806915284,0.576688270630804,20.0,28,False
8,0.2,10,0.001,0.6698409914970398,0.760398268699646,0.983689546585083,0.9803333282470703,2.264537811279297,1.1317599892616272,0.5795376039067933,12.6,29,False
