model,horizon_days,sample,n_forecasts,dm_stat_squared_loss,dm_p_value_squared_loss,dm_stat_absolute_loss,dm_p_value_absolute_loss
arima_aic,1,all_origins,750,1.2136610983779275,0.22525973184997028,2.4136583174708455,0.01603222167175027
arima_aic,1,converged_only,487,0.6710569498785562,0.5025030492181647,1.9592682222249775,0.050652648158921246
arima_bic,1,all_origins,750,0.2657068300169587,0.7905381202855004,2.262556987949039,0.023948656670894384
arima_bic,1,converged_only,717,0.29566391047158136,0.7675724839391886,2.6395118634389574,0.008483239051213731
arima_aic,5,all_origins,750,1.995572653154619,0.0463422153998066,2.1922594279967895,0.028667791350677554
arima_aic,5,converged_only,487,0.9603399215541272,0.33736169050243925,1.4317260383118195,0.15286501515899487
arima_bic,5,all_origins,750,1.2084948304945162,0.22723837230024202,1.7144922272042042,0.0868520387829077
arima_bic,5,converged_only,717,0.9515621126999878,0.3416402032589879,1.414227855140309,0.15772968910471585
arima_aic,20,all_origins,750,1.3620234292042446,0.17359996686489887,1.0951208673561132,0.2738157080390341
arima_aic,20,converged_only,487,1.0460986682885118,0.2960354772427335,1.0385157747782208,0.2995463930852347
arima_bic,20,all_origins,750,1.09249195470164,0.27496819045758114,1.0923587651461324,0.275026667279186
arima_bic,20,converged_only,717,0.95671219307619,0.33903545336935226,0.9539602923677122,0.340425686273505
