horizon,model,sample,n_forecasts,rmse,mae,naive_rmse,naive_mae,rmse_improvement_pct,mae_improvement_pct
1,arima_aic,all_origins,750,0.029104201085633073,0.020794450462413322,0.029001149402509314,0.020586666666666677,-0.3553365478502113,-1.0093124793392738
1,arima_aic,converged_only,487,0.0297639124710062,0.02111842114315421,0.029697309386625043,0.020924024640657093,-0.22427312694918133,-0.9290588490293974
1,arima_bic,all_origins,750,0.02901002002958048,0.0206646330917186,0.029001149402509314,0.020586666666666677,-0.030587156902130912,-0.37872291961750126
1,arima_bic,converged_only,717,0.02866677310577545,0.020650912352059136,0.028656577641441132,0.02055788005578802,-0.03557809471140264,-0.4525383746702137
5,arima_aic,all_origins,750,0.06187216720902024,0.04719335810937565,0.061160989745643164,0.046333333333333344,-1.1627958709215203,-1.8561685813862754
5,arima_aic,converged_only,487,0.06451028450983853,0.0494197134943393,0.06406811057466735,0.04866529774127311,-0.6901622838648483,-1.550212960941926
5,arima_bic,all_origins,750,0.061355014788185856,0.04662991072219462,0.061160989745643164,0.046333333333333344,-0.3172365969707243,-0.640095083873257
5,arima_bic,converged_only,717,0.06098909993137608,0.046410164241035036,0.0608276253029822,0.04615062761506278,-0.2654626538346282,-0.5623685730495884
20,arima_aic,all_origins,750,0.12815286360180989,0.09630992776403781,0.1250573201909162,0.09438666666666669,-2.475299651526147,-2.0376406597377312
20,arima_aic,converged_only,487,0.13466116532532033,0.10035315344118881,0.13235817251542187,0.09839835728952773,-1.7399702384302125,-1.9866146199059818
20,arima_bic,all_origins,750,0.12654609756496693,0.09569117972063464,0.1250573201909162,0.09438666666666669,-1.1904759927511002,-1.3820946326825272
20,arima_bic,converged_only,717,0.12706710240009025,0.09611537323591178,0.12571081023651381,0.09493723849372387,-1.078898593545531,-1.2409616720269254
