origin_date,horizon,actual,naive,lstm,fold
2012-02-17,1,0.96,0.96,0.9628208,0
2012-02-17,5,0.95,0.96,0.9476295,0
2012-02-17,20,0.96,0.96,0.9136358,0
2012-02-20,1,0.98,0.96,0.96487355,0
2012-02-20,5,0.94,0.96,0.9483938,0
2012-02-20,20,1.0,0.96,0.9163385,0
2012-02-21,1,0.95,0.98,0.9835474,0
2012-02-21,5,0.91,0.98,0.9673645,0
2012-02-21,20,0.99,0.98,0.9340323,0
2012-02-22,1,0.96,0.95,0.9533279,0
2012-02-22,5,0.88,0.95,0.9358912,0
2012-02-22,20,0.96,0.95,0.9012988,0
2012-02-23,1,0.95,0.96,0.9635989,0
2012-02-23,5,0.9,0.96,0.9494569,0
2012-02-23,20,0.96,0.96,0.9188935,0
2012-02-24,1,0.94,0.95,0.9532228,0
2012-02-24,5,0.86,0.95,0.93794465,0
2012-02-24,20,0.95,0.95,0.9058535,0
2012-02-27,1,0.91,0.94,0.9429133,0
2012-02-27,5,0.87,0.94,0.9260682,0
2012-02-27,20,0.95,0.94,0.8952666,0
2012-02-28,1,0.88,0.91,0.912733,0
2012-02-28,5,0.86,0.91,0.8958275,0
2012-02-28,20,0.91,0.91,0.8667064,0
2012-02-29,1,0.9,0.88,0.8824323,0
2012-02-29,5,0.85,0.88,0.8660373,0
2012-02-29,20,0.93,0.88,0.8365778,0
2012-03-01,1,0.86,0.9,0.90164644,0
2012-03-01,5,0.84,0.9,0.8854574,0
2012-03-01,20,0.9,0.9,0.8545205,0
2012-03-02,1,0.87,0.86,0.862245,0
2012-03-02,5,0.84,0.86,0.84526455,0
2012-03-02,20,0.91,0.86,0.810796,0
2012-03-05,1,0.86,0.87,0.8726222,0
2012-03-05,5,0.82,0.87,0.85661143,0
2012-03-05,20,0.92,0.87,0.8277917,0
2012-03-06,1,0.85,0.86,0.8632762,0
2012-03-06,5,0.86,0.86,0.84674513,0
2012-03-06,20,0.93,0.86,0.8158868,0
2012-03-07,1,0.84,0.85,0.8536483,0
2012-03-07,5,0.93,0.85,0.83714074,0
2012-03-07,20,0.91,0.85,0.8084772,0
2012-03-08,1,0.84,0.84,0.84309435,0
2012-03-08,5,0.94,0.84,0.82637936,0
2012-03-08,20,0.88,0.84,0.79568416,0
2012-03-09,1,0.82,0.84,0.84229124,0
2012-03-09,5,0.96,0.84,0.8257282,0
2012-03-09,20,0.88,0.84,0.7920658,0
2012-03-12,1,0.86,0.82,0.82233155,0
2012-03-12,5,1.0,0.82,0.8052521,0
2012-03-12,20,0.84,0.82,0.77175057,0
2012-03-13,1,0.93,0.86,0.86283404,0
2012-03-13,5,0.99,0.86,0.8464323,0
2012-03-13,20,0.79,0.86,0.81539416,0
2012-03-14,1,0.94,0.93,0.9326653,0
2012-03-14,5,0.96,0.93,0.9161917,0
2012-03-14,20,0.8,0.93,0.8779749,0
2012-03-15,1,0.96,0.94,0.9423271,0
2012-03-15,5,0.96,0.94,0.9256909,0
2012-03-15,20,0.82,0.94,0.88199246,0
2012-03-16,1,1.0,0.96,0.9624294,0
2012-03-16,5,0.95,0.96,0.94550025,0
2012-03-16,20,0.79,0.96,0.90562075,0
2012-03-19,1,0.99,1.0,1.0023618,0
2012-03-19,5,0.95,1.0,0.9856018,0
2012-03-19,20,0.78,1.0,0.94660485,0
2012-03-20,1,0.96,0.99,0.99237865,0
2012-03-20,5,0.91,0.99,0.976614,0
2012-03-20,20,0.74,0.99,0.9343194,0
2012-03-21,1,0.96,0.96,0.9627967,0
2012-03-21,5,0.93,0.96,0.9470345,0
2012-03-21,20,0.72,0.96,0.91089666,0
2012-03-22,1,0.95,0.96,0.96258175,0
2012-03-22,5,0.9,0.96,0.9475553,0
2012-03-22,20,0.71,0.96,0.9173474,0
2012-03-23,1,0.95,0.95,0.9535606,0
2012-03-23,5,0.91,0.95,0.9387842,0
2012-03-23,20,0.71,0.95,0.9093502,0
2012-03-26,1,0.91,0.95,0.954737,0
2012-03-26,5,0.92,0.95,0.9365294,0
2012-03-26,20,0.68,0.95,0.91001475,0
2012-03-27,1,0.93,0.91,0.9135474,0
2012-03-27,5,0.93,0.91,0.8966125,0
2012-03-27,20,0.66,0.91,0.865521,0
