model,horizon,rmse,mae
Naïve Random Walk,1,0.02903,0.02059
Naïve Random Walk,5,0.06127,0.0464
Naïve Random Walk,20,0.12531,0.09462
ARIMA-AIC,1,0.02913,0.02078
ARIMA-AIC,5,0.06199,0.04726
ARIMA-AIC,20,0.12848,0.09668
VAR-AIC,1,0.02984,0.02164
VAR-AIC,5,0.06378,0.04829
VAR-AIC,20,0.12619,0.09617
VECM (6-var),1,0.02978,0.02154
VECM (6-var),5,0.06366,0.04795
VECM (6-var),20,0.12405,0.0935
XGBoost (Tuned),1,0.03035,0.02156
XGBoost (Tuned),5,0.06301,0.04811
XGBoost (Tuned),20,0.12914,0.09752
LSTM (Tuned),1,0.02921,0.02102
LSTM (Tuned),5,0.06133,0.04651
LSTM (Tuned),20,0.12655,0.09515
