horizon,model_a,model_b,pipeline_pair,n_forecasts,insufficient_sample,dm_stat_squared_loss,dm_p_value_squared_loss,dm_stat_absolute_loss,dm_p_value_absolute_loss,a_significantly_better_rmse,b_significantly_better_rmse,a_significantly_better_mae,b_significantly_better_mae,verdict,dm_p_adj_squared_loss,dm_p_adj_absolute_loss,a_significantly_better_rmse_bh,b_significantly_better_rmse_bh,a_significantly_better_mae_bh,b_significantly_better_mae_bh,verdict_bh
1,arima_aic,arima_bic,same,750,False,1.266,0.206,1.736,0.083,False,False,False,False,no significant difference on either RMSE or MAE,0.3932727272727272,0.1774161290322581,False,False,False,False,no significant difference on either RMSE or MAE
1,arima_aic,lstm,cross,745,False,1.16,0.2465,0.497,0.6197,False,False,False,False,no significant difference on either RMSE or MAE,0.3981923076923077,0.6971625,False,False,False,False,no significant difference on either RMSE or MAE
1,arima_aic,var_aic,same,750,False,-2.481,0.0133,-3.197,0.0014,True,False,True,False,arima_aic significantly better than var_aic (RMSE and MAE agree),0.08432307692307692,0.00882,False,False,True,False,arima_aic significantly better than the rival on MAE only (p=0.0088); RMSE not significant
1,arima_aic,var_bic,same,750,False,1.266,0.2058,1.742,0.0819,False,False,False,False,no significant difference on either RMSE or MAE,0.3932727272727272,0.1774161290322581,False,False,False,False,no significant difference on either RMSE or MAE
1,arima_aic,vecm,cross,750,False,-2.152,0.0317,-2.872,0.0042,True,False,True,False,arima_aic significantly better than vecm (RMSE and MAE agree),0.1267875,0.023625,False,False,True,False,arima_aic significantly better than the rival on MAE only (p=0.0236); RMSE not significant
1,arima_bic,lstm,cross,745,False,0.272,0.7856,-1.607,0.1085,False,False,False,False,no significant difference on either RMSE or MAE,0.8171409836065574,0.1953,False,False,False,False,no significant difference on either RMSE or MAE
1,arima_bic,var_aic,same,750,False,-2.715,0.0068,-3.683,0.0002,True,False,True,False,arima_bic significantly better than var_aic (RMSE and MAE agree),0.08432307692307692,0.0031500000000000005,False,False,True,False,arima_bic significantly better than the rival on MAE only (p=0.0032); RMSE not significant
1,arima_bic,var_bic,same,750,False,0.401,0.6882,2.848,0.0045,False,False,False,True,var_bic significantly better than the rival on MAE only (p=0.0045); RMSE not significant,0.8029000000000001,0.023625,False,False,False,True,var_bic significantly better than the rival on MAE only (p=0.0236); RMSE not significant
1,arima_bic,vecm,cross,750,False,-2.384,0.0174,-3.369,0.0008,True,False,True,False,arima_bic significantly better than vecm (RMSE and MAE agree),0.08432307692307692,0.006300000000000001,False,False,True,False,arima_bic significantly better than the rival on MAE only (p=0.0063); RMSE not significant
1,naive,arima_aic,same,750,False,-1.214,0.2253,-2.414,0.016,False,False,True,False,naive significantly better than the rival on MAE only (p=0.0160); RMSE not significant,0.39349459459459457,0.05929411764705883,False,False,False,False,no significant difference on either RMSE or MAE
