max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,val_rmse_h1,naive_rmse_h1,rel_rmse_h1,val_rmse_h5,naive_rmse_h5,rel_rmse_h5,val_rmse_h20,naive_rmse_h20,rel_rmse_h20,mean_val_rmse,mean_relative_rmse,val_improvement_pct,rank,is_canonical
2,0.01,600,0.7,0.7,5.0,5.0,0.023728,0.023388,1.0145,0.053206,0.052694,1.0097,0.099311,0.098466,1.0086,0.058748,1.010947,-1.095,1,False
3,0.01,600,0.7,0.7,5.0,5.0,0.023799,0.023388,1.0176,0.053394,0.052694,1.0133,0.099002,0.098466,1.0054,0.058732,1.012106,-1.211,2,False
4,0.01,600,0.7,0.7,5.0,5.0,0.023778,0.023388,1.0167,0.053317,0.052694,1.0118,0.099413,0.098466,1.0096,0.058836,1.012709,-1.271,3,False
2,0.03,300,0.7,0.7,5.0,5.0,0.023771,0.023388,1.0164,0.053453,0.052694,1.0144,0.099537,0.098466,1.0109,0.05892,1.013888,-1.389,4,False
4,0.03,300,0.7,0.7,5.0,5.0,0.023988,0.023388,1.0257,0.05357,0.052694,1.0166,0.099488,0.098466,1.0104,0.059015,1.017555,-1.756,5,False
3,0.03,300,0.7,0.7,5.0,5.0,0.023941,0.023388,1.0237,0.053689,0.052694,1.0189,0.099464,0.098466,1.0101,0.059032,1.017565,-1.757,6,False
2,0.01,600,0.8,0.8,1.0,1.0,0.023949,0.023388,1.024,0.05422,0.052694,1.029,0.099638,0.098466,1.0119,0.059269,1.021615,-2.161,7,False
3,0.03,150,0.8,0.8,1.0,1.0,0.023913,0.023388,1.0225,0.054417,0.052694,1.0327,0.099679,0.098466,1.0123,0.059337,1.022498,-2.25,8,True
2,0.1,150,0.7,0.7,5.0,5.0,0.024025,0.023388,1.0272,0.054184,0.052694,1.0283,0.100454,0.098466,1.0202,0.059554,1.025229,-2.523,9,False
2,0.03,300,0.8,0.8,1.0,1.0,0.024018,0.023388,1.0269,0.054946,0.052694,1.0427,0.0995,0.098466,1.0105,0.059488,1.026727,-2.673,10,False
2,0.01,600,1.0,1.0,1.0,0.5,0.023838,0.023388,1.0192,0.055307,0.052694,1.0496,0.099652,0.098466,1.012,0.059599,1.026956,-2.696,11,False
3,0.01,600,0.8,0.8,1.0,1.0,0.024056,0.023388,1.0285,0.054816,0.052694,1.0403,0.099848,0.098466,1.014,0.059573,1.027616,-2.762,12,False
2,0.1,150,0.8,0.8,1.0,1.0,0.023849,0.023388,1.0197,0.054866,0.052694,1.0412,0.100629,0.098466,1.022,0.059781,1.027635,-2.763,13,False
4,0.01,600,0.8,0.8,1.0,1.0,0.023998,0.023388,1.0261,0.054998,0.052694,1.0437,0.10007,0.098466,1.0163,0.059689,1.028704,-2.87,14,False
3,0.03,300,0.8,0.8,1.0,1.0,0.024105,0.023388,1.0307,0.055676,0.052694,1.0566,0.099885,0.098466,1.0144,0.059889,1.033889,-3.389,15,False
4,0.1,150,0.7,0.7,5.0,5.0,0.024081,0.023388,1.0296,0.054732,0.052694,1.0387,0.101773,0.098466,1.0336,0.060196,1.033973,-3.397,16,False
3,0.1,150,0.7,0.7,5.0,5.0,0.024236,0.023388,1.0363,0.054467,0.052694,1.0337,0.10174,0.098466,1.0333,0.060148,1.034396,-3.44,17,False
2,0.03,300,1.0,1.0,1.0,0.5,0.023956,0.023388,1.0243,0.056102,0.052694,1.0647,0.100015,0.098466,1.0157,0.060024,1.034898,-3.49,18,False
4,0.03,300,0.8,0.8,1.0,1.0,0.024206,0.023388,1.035,0.055106,0.052694,1.0458,0.100861,0.098466,1.0243,0.060058,1.035024,-3.502,19,False
3,0.1,150,0.8,0.8,1.0,1.0,0.024264,0.023388,1.0374,0.055443,0.052694,1.0522,0.100145,0.098466,1.0171,0.059951,1.035558,-3.556,20,False
2,0.1,150,1.0,1.0,1.0,0.5,0.024019,0.023388,1.027,0.057147,0.052694,1.0845,0.101858,0.098466,1.0344,0.061008,1.04865,-4.865,21,False
4,0.1,150,0.8,0.8,1.0,1.0,0.024442,0.023388,1.0451,0.056559,0.052694,1.0734,0.101961,0.098466,1.0355,0.060987,1.051302,-5.13,22,False
3,0.01,600,1.0,1.0,1.0,0.5,0.024345,0.023388,1.0409,0.057106,0.052694,1.0837,0.101461,0.098466,1.0304,0.060971,1.051695,-5.169,23,False
4,0.01,600,1.0,1.0,1.0,0.5,0.024145,0.023388,1.0324,0.057876,0.052694,1.0983,0.101649,0.098466,1.0323,0.061223,1.054344,-5.434,24,False
3,0.03,300,1.0,1.0,1.0,0.5,0.024522,0.023388,1.0485,0.058346,0.052694,1.1073,0.102316,0.098466,1.0391,0.061728,1.064947,-6.495,25,False
4,0.03,300,1.0,1.0,1.0,0.5,0.024343,0.023388,1.0409,0.058778,0.052694,1.1155,0.102372,0.098466,1.0397,0.061831,1.06533,-6.533,26,False
3,0.1,150,1.0,1.0,1.0,0.5,0.024551,0.023388,1.0497,0.059706,0.052694,1.1331,0.103035,0.098466,1.0464,0.062431,1.076405,-7.641,27,False
4,0.1,150,1.0,1.0,1.0,0.5,0.024709,0.023388,1.0565,0.060073,0.052694,1.14,0.104867,0.098466,1.065,0.063217,1.087186,-8.719,28,False
