horizon,feature,mean_abs_shap
1,d_yield_spread_10y_2y_lag1,0.000237
1,d_yield_spread_10y_2y_lag2,3.6e-05
1,d_yield_spread_10y_2y_lag3,0.000503
1,d_yield_spread_10y_2y_lag4,0.000194
1,d_yield_spread_10y_2y_lag5,0.000376
1,d_yield_spread_10y_2y_lag10,0.000113
1,d_yield_spread_10y_2y_lag20,4.3e-05
1,d_overnight_rate_lag1,0.0
1,d_overnight_rate_lag2,2e-06
1,d_overnight_rate_lag3,0.0
1,d_overnight_rate_lag4,2.9e-05
1,d_overnight_rate_lag5,2.1e-05
1,d_overnight_rate_lag10,0.0
1,d_overnight_rate_lag20,0.0
1,d_us_treasury_10y_lag1,4.6e-05
1,d_us_treasury_10y_lag2,0.00011
1,d_us_treasury_10y_lag3,9.4e-05
1,d_us_treasury_10y_lag4,0.000216
1,d_us_treasury_10y_lag5,0.000132
1,d_us_treasury_10y_lag10,6.8e-05
1,d_us_treasury_10y_lag20,9.4e-05
1,d_fed_funds_rate_lag1,6.1e-05
1,d_fed_funds_rate_lag2,2.2e-05
1,d_fed_funds_rate_lag3,6.5e-05
1,d_fed_funds_rate_lag4,1.1e-05
1,d_fed_funds_rate_lag5,1.3e-05
1,d_fed_funds_rate_lag10,0.0
1,d_fed_funds_rate_lag20,4.7e-05
1,d_cpi_yoy_lag1,8.4e-05
1,d_cpi_yoy_lag2,0.000133
1,d_cpi_yoy_lag3,2e-06
1,d_cpi_yoy_lag4,3e-05
1,d_cpi_yoy_lag5,0.000117
1,d_cpi_yoy_lag10,1.3e-05
1,d_cpi_yoy_lag20,0.0
1,d_usdcad_lag1,0.000147
1,d_usdcad_lag2,4.6e-05
1,d_usdcad_lag3,0.000204
1,d_usdcad_lag4,0.000578
1,d_usdcad_lag5,3.9e-05
1,d_usdcad_lag10,0.000172
1,d_usdcad_lag20,9.9e-05
1,vol_target_5d,8.4e-05
1,vol_target_20d,0.00021
1,mom_target_5d,0.000165
1,mom_target_20d,0.000118
1,vol_overnight_5d,2.2e-05
1,vol_overnight_20d,0.000121
1,vol_ust_5d,0.000253
1,vol_ust_20d,0.000253
5,d_yield_spread_10y_2y_lag1,0.000739
5,d_yield_spread_10y_2y_lag2,0.000212
5,d_yield_spread_10y_2y_lag3,0.000208
5,d_yield_spread_10y_2y_lag4,8e-05
5,d_yield_spread_10y_2y_lag5,0.000302
5,d_yield_spread_10y_2y_lag10,0.000196
5,d_yield_spread_10y_2y_lag20,0.000426
5,d_overnight_rate_lag1,0.0
5,d_overnight_rate_lag2,4e-06
5,d_overnight_rate_lag3,2.9e-05
5,d_overnight_rate_lag4,0.0
5,d_overnight_rate_lag5,7e-06
5,d_overnight_rate_lag10,0.0
5,d_overnight_rate_lag20,0.0
5,d_us_treasury_10y_lag1,0.00015
5,d_us_treasury_10y_lag2,7.5e-05
5,d_us_treasury_10y_lag3,0.00042
5,d_us_treasury_10y_lag4,0.000125
5,d_us_treasury_10y_lag5,0.00018
5,d_us_treasury_10y_lag10,0.000453
5,d_us_treasury_10y_lag20,0.000118
5,d_fed_funds_rate_lag1,1.6e-05
5,d_fed_funds_rate_lag2,2.7e-05
5,d_fed_funds_rate_lag3,1.1e-05
5,d_fed_funds_rate_lag4,8e-05
5,d_fed_funds_rate_lag5,9.6e-05
5,d_fed_funds_rate_lag10,3.6e-05
5,d_fed_funds_rate_lag20,2e-06
5,d_cpi_yoy_lag1,4e-06
5,d_cpi_yoy_lag2,0.0
5,d_cpi_yoy_lag3,9.8e-05
5,d_cpi_yoy_lag4,6.3e-05
5,d_cpi_yoy_lag5,0.000123
5,d_cpi_yoy_lag10,2e-06
5,d_cpi_yoy_lag20,0.000175
5,d_usdcad_lag1,0.000247
5,d_usdcad_lag2,0.00015
5,d_usdcad_lag3,0.000164
5,d_usdcad_lag4,0.000144
5,d_usdcad_lag5,7.7e-05
5,d_usdcad_lag10,0.000259
5,d_usdcad_lag20,0.000914
5,vol_target_5d,0.000334
5,vol_target_20d,0.002839
5,mom_target_5d,0.000899
5,mom_target_20d,0.002298
5,vol_overnight_5d,0.000607
5,vol_overnight_20d,0.000653
5,vol_ust_5d,0.000568
5,vol_ust_20d,0.002849
20,d_yield_spread_10y_2y_lag1,9.6e-05
20,d_yield_spread_10y_2y_lag2,2.3e-05
20,d_yield_spread_10y_2y_lag3,5e-05
20,d_yield_spread_10y_2y_lag4,4.3e-05
20,d_yield_spread_10y_2y_lag5,0.000155
20,d_yield_spread_10y_2y_lag10,8e-05
20,d_yield_spread_10y_2y_lag20,0.000145
20,d_overnight_rate_lag1,0.0
20,d_overnight_rate_lag2,0.0
20,d_overnight_rate_lag3,0.0
20,d_overnight_rate_lag4,0.0
20,d_overnight_rate_lag5,0.0
20,d_overnight_rate_lag10,0.0
20,d_overnight_rate_lag20,0.0
20,d_us_treasury_10y_lag1,0.00068
20,d_us_treasury_10y_lag2,0.001122
20,d_us_treasury_10y_lag3,0.001645
20,d_us_treasury_10y_lag4,0.001127
20,d_us_treasury_10y_lag5,0.000572
20,d_us_treasury_10y_lag10,0.000199
20,d_us_treasury_10y_lag20,0.00011
20,d_fed_funds_rate_lag1,0.00017
20,d_fed_funds_rate_lag2,0.000329
20,d_fed_funds_rate_lag3,0.000246
20,d_fed_funds_rate_lag4,7.5e-05
20,d_fed_funds_rate_lag5,0.000109
20,d_fed_funds_rate_lag10,2.6e-05
20,d_fed_funds_rate_lag20,0.000181
20,d_cpi_yoy_lag1,9.1e-05
20,d_cpi_yoy_lag2,2.3e-05
20,d_cpi_yoy_lag3,0.0
20,d_cpi_yoy_lag4,0.0
20,d_cpi_yoy_lag5,1.3e-05
20,d_cpi_yoy_lag10,8.2e-05
20,d_cpi_yoy_lag20,1.9e-05
20,d_usdcad_lag1,0.000518
20,d_usdcad_lag2,0.000494
20,d_usdcad_lag3,0.001038
20,d_usdcad_lag4,0.001331
20,d_usdcad_lag5,0.001138
20,d_usdcad_lag10,0.001331
20,d_usdcad_lag20,0.00043
20,vol_target_5d,0.00107
20,vol_target_20d,0.01341
20,mom_target_5d,0.00072
20,mom_target_20d,0.011272
20,vol_overnight_5d,0.000354
20,vol_overnight_20d,0.001538
20,vol_ust_5d,0.001764
20,vol_ust_20d,0.013458
